year,origin,destin,id,dist,passen,fare,bmktshr,concen
1999,"BOISE, ID","PORTLAND, OR",198,344,738,71,0.5946,0.5946
2000,"BOISE, ID","PORTLAND, OR",198,344,729,78,0.6155,0.6155
1997,"BOISE, ID","RENO, NV",199,335,141,64,0.9746,0.9746
1998,"BOISE, ID","RENO, NV",199,335,151,71,0.9626,0.9626
1999,"BOISE, ID","RENO, NV",199,335,147,71,0.9845,0.9845
2000,"BOISE, ID","RENO, NV",199,335,162,72,0.9839,0.9839
1997,"BOISE, ID","SALT LAKE CITY, UT",200,291,356,58,0.5596,0.5596
1998,"BOISE, ID","SALT LAKE CITY, UT",200,291,360,70,0.5442,0.5442
1999,"BOISE, ID","SALT LAKE CITY, UT",200,291,404,64,0.5047,0.5047
2000,"BOISE, ID","SALT LAKE CITY, UT",200,291,405,69,0.505,0.505
1997,"BOISE, ID","SAN FRANCISCO, CA",201,522,281,122,0.9512,0.9512
1998,"BOISE, ID","SAN FRANCISCO, CA",201,522,281,125,0.9517,0.9517
1999,"BOISE, ID","SAN FRANCISCO, CA",201,522,259,126,0.948,0.948
2000,"BOISE, ID","SAN FRANCISCO, CA",201,522,225,143,0.9531,0.9531
1997,"BOISE, ID","SEATTLE, WA",202,399,779,69,0.5339,0.5339
1998,"BOISE, ID","SEATTLE, WA",202,399,888,69,0.5692,0.5692
1999,"BOISE, ID","SEATTLE, WA",202,399,904,68,0.5011,0.5011
2000,"BOISE, ID","SEATTLE, WA",202,399,831,80,0.51,0.51
1997,"BOISE, ID","SPOKANE, WA",203,287,374,58,0.6874,0.6874
1998,"BOISE, ID","SPOKANE, WA",203,287,382,60,0.6151,0.6151
1999,"BOISE, ID","SPOKANE, WA",203,287,427,60,0.6454,0.6454
2000,"BOISE, ID","SPOKANE, WA",203,287,445,66,0.6772,0.6772
1997,"BOSTON, MA","BUFFALO, NY",204,396,331,176,0.8757,0.8757
1998,"BOSTON, MA","BUFFALO, NY",204,396,293,182,0.8785,0.8785
1999,"BOSTON, MA","BUFFALO, NY",204,396,257,197,0.8944,0.8944
2000,"BOSTON, MA","BUFFALO, NY",204,396,212,210,0.9307,0.9307
1997,"BOSTON, MA","CHARLOTTE, NC",205,727,448,229,0.8966,0.8966
1998,"BOSTON, MA","CHARLOTTE, NC",205,727,440,219,0.8831,0.8831
1999,"BOSTON, MA","CHARLOTTE, NC",205,727,473,233,0.9146,0.9146
2000,"BOSTON, MA","CHARLOTTE, NC",205,727,389,271,0.9206,0.9206
1997,"BOSTON, MA","CHICAGO, IL",206,867,2471,211,0.4635,0.4635
1998,"BOSTON, MA","CHICAGO, IL",206,867,2167,219,0.4909,0.4909
1999,"BOSTON, MA","CHICAGO, IL",206,867,1928,271,0.4869,0.4869
2000,"BOSTON, MA","CHICAGO, IL",206,867,2309,243,0.4289,0.4289
1997,"BOSTON, MA","CINCINNATI, OH",207,752,347,280,0.8822,0.8822
1998,"BOSTON, MA","CINCINNATI, OH",207,752,341,293,0.9061,0.9061
1999,"BOSTON, MA","CINCINNATI, OH",207,752,413,256,0.8775,0.8775
2000,"BOSTON, MA","CINCINNATI, OH",207,752,374,263,0.8706,0.8706
1997,"BOSTON, MA","CLEVELAND, OH",208,563,414,252,0.8586,0.8586
1998,"BOSTON, MA","CLEVELAND, OH",208,563,359,231,0.8677,0.8677
1999,"BOSTON, MA","CLEVELAND, OH",208,563,481,219,0.7665,0.7665
2000,"BOSTON, MA","CLEVELAND, OH",208,563,402,251,0.836,0.836
1997,"BOSTON, MA","CO SPRINGS, CO",209,1783,120,249,0.2725,0.2725
1998,"BOSTON, MA","CO SPRINGS, CO",209,1783,106,281,0.5179,0.5179
1999,"BOSTON, MA","CO SPRINGS, CO",209,1783,85,311,0.5025,0.5025
2000,"BOSTON, MA","CO SPRINGS, CO",209,1783,139,250,0.4039,0.4039
1997,"BOSTON, MA","COLUMBUS, OH",210,640,365,158,0.6121,0.6121
1998,"BOSTON, MA","COLUMBUS, OH",210,640,429,153,0.6159,0.6159
1999,"BOSTON, MA","COLUMBUS, OH",210,640,524,136,0.6226,0.6226
2000,"BOSTON, MA","COLUMBUS, OH",210,640,323,195,0.4237,0.4237
1997,"BOSTON, MA","DALLAS, TX",211,1562,1057,352,0.6406,0.6406
1998,"BOSTON, MA","DALLAS, TX",211,1562,1164,319,0.6758,0.6758
1999,"BOSTON, MA","DALLAS, TX",211,1562,1135,319,0.6257,0.6257
2000,"BOSTON, MA","DALLAS, TX",211,1562,1216,364,0.5827,0.5827
1997,"BOSTON, MA","DENVER, CO",212,1754,900,243,0.6734,0.6734
1998,"BOSTON, MA","DENVER, CO",212,1754,862,266,0.6787,0.6787
1999,"BOSTON, MA","DENVER, CO",212,1754,970,258,0.6975,0.6975
2000,"BOSTON, MA","DENVER, CO",212,1754,1043,273,0.6377,0.6377
1997,"BOSTON, MA","DETROIT, MI",213,632,733,256,0.8716,0.8716
1998,"BOSTON, MA","DETROIT, MI",213,632,731,245,0.8664,0.8664
1999,"BOSTON, MA","DETROIT, MI",213,632,720,262,0.8511,0.8511
2000,"BOSTON, MA","DETROIT, MI",213,632,647,274,0.8533,0.8533
1997,"BOSTON, MA","FT. LAUDERDALE, FL",214,1237,841,142,0.4747,0.4747
1998,"BOSTON, MA","FT. LAUDERDALE, FL",214,1237,1217,137,0.6061,0.6061
1999,"BOSTON, MA","FT. LAUDERDALE, FL",214,1237,1430,132,0.5701,0.5701
2000,"BOSTON, MA","FT. LAUDERDALE, FL",214,1237,1682,135,0.5671,0.5671
1997,"BOSTON, MA","FT. MYERS, FL",215,1249,663,138,0.781,0.781
1998,"BOSTON, MA","FT. MYERS, FL",215,1249,676,136,0.7555,0.7555
1999,"BOSTON, MA","FT. MYERS, FL",215,1249,767,136,0.7907,0.7907
2000,"BOSTON, MA","FT. MYERS, FL",215,1249,745,142,0.7858,0.7858
1997,"BOSTON, MA","GREENSBORO, NC",216,646,173,208,0.5408,0.5408
1998,"BOSTON, MA","GREENSBORO, NC",216,646,203,168,0.5315,0.5315
1999,"BOSTON, MA","GREENSBORO, NC",216,646,161,168,0.6422,0.6422
2000,"BOSTON, MA","GREENSBORO, NC",216,646,241,154,0.8257,0.8257
1997,"BOSTON, MA","HOUSTON, TX",217,1597,531,345,0.6942,0.6942
1998,"BOSTON, MA","HOUSTON, TX",217,1597,594,338,0.6314,0.6314
1999,"BOSTON, MA","HOUSTON, TX",217,1597,646,317,0.7035,0.7035
2000,"BOSTON, MA","HOUSTON, TX",217,1597,739,317,0.7258999,0.7258999
1997,"BOSTON, MA","INDIANAPOLIS, IN",218,818,266,244,0.6199,0.6199
1998,"BOSTON, MA","INDIANAPOLIS, IN",218,818,245,220,0.4851,0.4851
1999,"BOSTON, MA","INDIANAPOLIS, IN",218,818,297,210,0.4781,0.4781
2000,"BOSTON, MA","INDIANAPOLIS, IN",218,818,320,207,0.6254,0.6254
1997,"BOSTON, MA","JACKSONVILLE, FL",219,1012,255,150,0.526,0.526
1998,"BOSTON, MA","JACKSONVILLE, FL",219,1012,236,144,0.4965,0.4965
1999,"BOSTON, MA","JACKSONVILLE, FL",219,1012,277,128,0.4017,0.4017
2000,"BOSTON, MA","JACKSONVILLE, FL",219,1012,271,132,0.4697,0.4697
1997,"BOSTON, MA","KANSAS CITY, MO",220,1258,325,232,0.4712,0.4712
1998,"BOSTON, MA","KANSAS CITY, MO",220,1258,326,223,0.4512,0.4512
1999,"BOSTON, MA","KANSAS CITY, MO",220,1258,338,229,0.4801,0.4801
2000,"BOSTON, MA","KANSAS CITY, MO",220,1258,319,228,0.4268,0.4268
1997,"BOSTON, MA","LOS ANGELES, CA",221,2611,1523,334,0.3916,0.3916
1998,"BOSTON, MA","LOS ANGELES, CA",221,2611,1800,290,0.4145,0.4145
1999,"BOSTON, MA","LOS ANGELES, CA",221,2611,1374,364,0.4043,0.4043
2000,"BOSTON, MA","LOS ANGELES, CA",221,2611,1592,366,0.3686,0.3686
1997,"BOSTON, MA","MEMPHIS, TN",222,1140,212,232,0.7708,0.7708
1998,"BOSTON, MA","MEMPHIS, TN",222,1140,207,189,0.7246,0.7246
1999,"BOSTON, MA","MEMPHIS, TN",222,1140,249,191,0.6793,0.6793
2000,"BOSTON, MA","MEMPHIS, TN",222,1140,242,211,0.7825,0.7825
1997,"BOSTON, MA","MIAMI, FL",223,1258,850,182,0.7296,0.7296
1998,"BOSTON, MA","MIAMI, FL",223,1258,813,185,0.7048,0.7048
1999,"BOSTON, MA","MIAMI, FL",223,1258,807,190,0.7204,0.7204
2000,"BOSTON, MA","MIAMI, FL",223,1258,760,198,0.702,0.702
1997,"BOSTON, MA","MILWAUKEE, WI",224,860,336,219,0.7268,0.7268
1998,"BOSTON, MA","MILWAUKEE, WI",224,860,293,213,0.7422,0.7422
1999,"BOSTON, MA","MILWAUKEE, WI",224,860,336,195,0.6669,0.6669
2000,"BOSTON, MA","MILWAUKEE, WI",224,860,334,223,0.6713,0.6713
1997,"BOSTON, MA","MINNEAPOLIS, MN",225,1124,661,343,0.7727,0.7727
1998,"BOSTON, MA","MINNEAPOLIS, MN",225,1124,730,280,0.82,0.82
1999,"BOSTON, MA","MINNEAPOLIS, MN",225,1124,1007,220,0.7711,0.7711
2000,"BOSTON, MA","MINNEAPOLIS, MN",225,1124,1010,247,0.7626,0.7626
1997,"BOSTON, MA","MYRTLE BEACH, SC",226,739,115,119,0.7811,0.7811
1998,"BOSTON, MA","MYRTLE BEACH, SC",226,739,126,129,0.692,0.692
1999,"BOSTON, MA","MYRTLE BEACH, SC",226,739,169,107,0.6752,0.6752
2000,"BOSTON, MA","MYRTLE BEACH, SC",226,739,204,101,0.6231,0.6231
1997,"BOSTON, MA","NASHVILLE, TN",227,944,265,174,0.4817,0.4817
1998,"BOSTON, MA","NASHVILLE, TN",227,944,208,172,0.4694,0.4694
1999,"BOSTON, MA","NASHVILLE, TN",227,944,215,162,0.4949,0.4949
2000,"BOSTON, MA","NASHVILLE, TN",227,944,161,251,0.4959,0.4959
1997,"BOSTON, MA","NEW ORLEANS, LA",228,1368,343,179,0.3011,0.3011
1998,"BOSTON, MA","NEW ORLEANS, LA",228,1368,403,156,0.2784,0.2784
1999,"BOSTON, MA","NEW ORLEANS, LA",228,1368,398,156,0.2889,0.2889
2000,"BOSTON, MA","NEW ORLEANS, LA",228,1368,428,163,0.3265,0.3265
1997,"BOSTON, MA","NEW YORK, NY",229,185,6563,129,0.4099,0.4099
1998,"BOSTON, MA","NEW YORK, NY",229,185,6415,134,0.4284,0.4284
1999,"BOSTON, MA","NEW YORK, NY",229,185,7096,139,0.4343,0.4343
2000,"BOSTON, MA","NEW YORK, NY",229,185,6883,145,0.4276,0.4276
1997,"BOSTON, MA","NORFOLK, VA",230,468,210,160,0.8243,0.8243
1998,"BOSTON, MA","NORFOLK, VA",230,468,183,170,0.8761,0.8761
1999,"BOSTON, MA","NORFOLK, VA",230,468,197,169,0.7085,0.7085
2000,"BOSTON, MA","NORFOLK, VA",230,468,180,192,0.4571,0.4571
1997,"BOSTON, MA","ORLANDO, FL",231,1121,2021,126,0.8033,0.8033
1998,"BOSTON, MA","ORLANDO, FL",231,1121,2039,123,0.7515,0.7515
1999,"BOSTON, MA","ORLANDO, FL",231,1121,2260,118,0.651,0.651
2000,"BOSTON, MA","ORLANDO, FL",231,1121,2306,129,0.5943,0.5943
1997,"BOSTON, MA","PHILADELPHIA, PA",232,280,1662,146,0.9078,0.9078
1998,"BOSTON, MA","PHILADELPHIA, PA",232,280,1782,136,0.8759,0.8759
1999,"BOSTON, MA","PHILADELPHIA, PA",232,280,2025,145,0.7972,0.7972
2000,"BOSTON, MA","PHILADELPHIA, PA",232,280,1602,207,0.7869,0.7869
1997,"BOSTON, MA","PHOENIX, AZ",233,2301,658,238,0.4415,0.4415
1998,"BOSTON, MA","PHOENIX, AZ",233,2301,527,266,0.4052,0.4052
1999,"BOSTON, MA","PHOENIX, AZ",233,2301,615,236,0.3469,0.3469
2000,"BOSTON, MA","PHOENIX, AZ",233,2301,538,294,0.3942,0.3942
1997,"BOSTON, MA","PITTSBURGH, PA",234,496,632,217,0.9247,0.9247
1998,"BOSTON, MA","PITTSBURGH, PA",234,496,628,217,0.8458,0.8458
1999,"BOSTON, MA","PITTSBURGH, PA",234,496,730,193,0.9318,0.9318
2000,"BOSTON, MA","PITTSBURGH, PA",234,496,641,237,0.9435,0.9435
1997,"BOSTON, MA","PORTLAND, OR",235,2541,246,339,0.2967,0.2967
1998,"BOSTON, MA","PORTLAND, OR",235,2541,259,325,0.4114,0.4114
1999,"BOSTON, MA","PORTLAND, OR",235,2541,208,382,0.3158,0.3158
2000,"BOSTON, MA","PORTLAND, OR",235,2541,225,398,0.315,0.315
1997,"BOSTON, MA","RALEIGH/DURHAM, NC",236,612,537,193,0.628,0.628
1998,"BOSTON, MA","RALEIGH/DURHAM, NC",236,612,585,187,0.6442,0.6442
1999,"BOSTON, MA","RALEIGH/DURHAM, NC",236,612,741,132,0.5082,0.5082
2000,"BOSTON, MA","RALEIGH/DURHAM, NC",236,612,746,146,0.585,0.585
1997,"BOSTON, MA","RICHMOND, VA",237,474,187,202,0.7753,0.7753
1998,"BOSTON, MA","RICHMOND, VA",237,474,175,213,0.8587,0.8587
1999,"BOSTON, MA","RICHMOND, VA",237,474,211,200,0.8078,0.8078
2000,"BOSTON, MA","RICHMOND, VA",237,474,233,222,0.6597,0.6597
1997,"BOSTON, MA","ROCHESTER, NY",238,343,278,153,0.9284,0.9284
1998,"BOSTON, MA","ROCHESTER, NY",238,343,279,125,0.9144,0.9144
1999,"BOSTON, MA","ROCHESTER, NY",238,343,243,152,0.9431,0.9431
2000,"BOSTON, MA","ROCHESTER, NY",238,343,334,172,0.7229,0.7229
1997,"BOSTON, MA","SACRAMENTO, CA",239,2642,121,324,0.3262,0.3262
1998,"BOSTON, MA","SACRAMENTO, CA",239,2642,104,358,0.446,0.446
1999,"BOSTON, MA","SACRAMENTO, CA",239,2642,113,375,0.4058,0.4058
2000,"BOSTON, MA","SACRAMENTO, CA",239,2642,118,407,0.4413,0.4413
1997,"BOSTON, MA","SALT LAKE CITY, UT",240,2106,242,289,0.707,0.707
1998,"BOSTON, MA","SALT LAKE CITY, UT",240,2106,274,300,0.687,0.687
1999,"BOSTON, MA","SALT LAKE CITY, UT",240,2106,284,311,0.625,0.625
2000,"BOSTON, MA","SALT LAKE CITY, UT",240,2106,309,300,0.6394,0.6394
1997,"BOSTON, MA","SAN DIEGO, CA",241,2588,490,276,0.2872,0.2872
1998,"BOSTON, MA","SAN DIEGO, CA",241,2588,434,312,0.4348,0.4348
1999,"BOSTON, MA","SAN DIEGO, CA",241,2588,394,331,0.4564,0.4564
2000,"BOSTON, MA","SAN DIEGO, CA",241,2588,463,352,0.4025,0.4025
1997,"BOSTON, MA","SAN FRANCISCO, CA",242,2704,1548,460,0.6285,0.6285
1998,"BOSTON, MA","SAN FRANCISCO, CA",242,2704,1811,382,0.5733,0.5733
1999,"BOSTON, MA","SAN FRANCISCO, CA",242,2704,1709,453,0.5562,0.5562
2000,"BOSTON, MA","SAN FRANCISCO, CA",242,2704,1815,488,0.4996,0.4996
1997,"BOSTON, MA","SAN JOSE, CA",243,2689,473,459,0.6745,0.6745
1998,"BOSTON, MA","SAN JOSE, CA",243,2689,550,408,0.6572,0.6572
1999,"BOSTON, MA","SAN JOSE, CA",243,2689,530,452,0.7043,0.7043
2000,"BOSTON, MA","SAN JOSE, CA",243,2689,601,522,0.7095,0.7095
1997,"BOSTON, MA","SANTA ANA, CA",244,2592,212,363,0.3129,0.3129
1998,"BOSTON, MA","SANTA ANA, CA",244,2592,175,403,0.2757,0.2757
1999,"BOSTON, MA","SANTA ANA, CA",244,2592,209,363,0.227,0.227
2000,"BOSTON, MA","SANTA ANA, CA",244,2592,177,410,0.2623,0.2623
1997,"BOSTON, MA","SARASOTA, FL",245,1222,193,136,0.6413,0.6413
1998,"BOSTON, MA","SARASOTA, FL",245,1222,162,138,0.496,0.496
1999,"BOSTON, MA","SARASOTA, FL",245,1222,147,143,0.4841,0.4841
2000,"BOSTON, MA","SARASOTA, FL",245,1222,121,153,0.4363,0.4363
1997,"BOSTON, MA","SEATTLE, WA",246,2497,552,301,0.4117,0.4117
1998,"BOSTON, MA","SEATTLE, WA",246,2497,537,299,0.363,0.363
1999,"BOSTON, MA","SEATTLE, WA",246,2497,527,334,0.3266,0.3266
2000,"BOSTON, MA","SEATTLE, WA",246,2497,500,363,0.2817,0.2817
1997,"BOSTON, MA","ST. LOUIS, MO",247,1046,344,310,0.7197,0.7197
1998,"BOSTON, MA","ST. LOUIS, MO",247,1046,338,309,0.7878,0.7878
1999,"BOSTON, MA","ST. LOUIS, MO",247,1046,322,336,0.7254,0.7254
2000,"BOSTON, MA","ST. LOUIS, MO",247,1046,319,370,0.7421,0.7421
1997,"BOSTON, MA","TAMPA, FL",248,1185,1103,137,0.5171,0.5171
1998,"BOSTON, MA","TAMPA, FL",248,1185,1034,126,0.56,0.56
1999,"BOSTON, MA","TAMPA, FL",248,1185,1226,125,0.4527,0.4527
2000,"BOSTON, MA","TAMPA, FL",248,1185,1224,133,0.5312,0.5312
1997,"BOSTON, MA","WASHINGTON, DC",249,406,3362,141,0.7144001,0.7144001
1998,"BOSTON, MA","WASHINGTON, DC",249,406,3667,126,0.7758,0.7758
1999,"BOSTON, MA","WASHINGTON, DC",249,406,4052,121,0.6375,0.6375
2000,"BOSTON, MA","WASHINGTON, DC",249,406,3625,152,0.6004,0.6004
1997,"BOSTON, MA","WEST PALM BEACH, FL",250,1197,1037,149,0.702,0.702
1998,"BOSTON, MA","WEST PALM BEACH, FL",250,1197,863,152,0.7373,0.7373
1999,"BOSTON, MA","WEST PALM BEACH, FL",250,1197,1028,145,0.5175,0.5175
2000,"BOSTON, MA","WEST PALM BEACH, FL",250,1197,863,153,0.5532,0.5532
1997,"BUFFALO, NY","CHICAGO, IL",251,473,329,206,0.4658,0.4658
1998,"BUFFALO, NY","CHICAGO, IL",251,473,307,208,0.4683,0.4683
1999,"BUFFALO, NY","CHICAGO, IL",251,473,690,99,0.3514,0.3514
2000,"BUFFALO, NY","CHICAGO, IL",251,473,537,120,0.4105,0.4105
1997,"BUFFALO, NY","FT. LAUDERDALE, FL",252,1167,157,133,0.5477,0.5477
1998,"BUFFALO, NY","FT. LAUDERDALE, FL",252,1167,171,126,0.4745,0.4745
1999,"BUFFALO, NY","FT. LAUDERDALE, FL",252,1167,182,130,0.471,0.471
2000,"BUFFALO, NY","FT. LAUDERDALE, FL",252,1167,304,115,0.357,0.357
1997,"BUFFALO, NY","LAS VEGAS, NV",253,1989,215,168,0.3602,0.3602
1998,"BUFFALO, NY","LAS VEGAS, NV",253,1989,241,180,0.2838,0.2838
1999,"BUFFALO, NY","LAS VEGAS, NV",253,1989,227,195,0.3112,0.3112
2000,"BUFFALO, NY","LAS VEGAS, NV",253,1989,320,166,0.5058,0.5058
1997,"BUFFALO, NY","NEW YORK, NY",254,292,1133,142,0.5831,0.5831
1998,"BUFFALO, NY","NEW YORK, NY",254,292,1222,125,0.5704,0.5704
1999,"BUFFALO, NY","NEW YORK, NY",254,292,1141,145,0.591,0.591
2000,"BUFFALO, NY","NEW YORK, NY",254,292,2022,96,0.4271,0.4271
1997,"BUFFALO, NY","ORLANDO, FL",255,1011,443,116,0.4081,0.4081
1998,"BUFFALO, NY","ORLANDO, FL",255,1011,552,102,0.5211,0.5211
1999,"BUFFALO, NY","ORLANDO, FL",255,1011,519,111,0.6385,0.6385
2000,"BUFFALO, NY","ORLANDO, FL",255,1011,700,107,0.3646,0.3646
1997,"BUFFALO, NY","PHILADELPHIA, PA",256,279,224,196,0.9617,0.9617
1998,"BUFFALO, NY","PHILADELPHIA, PA",256,279,215,201,0.9536,0.9536
1999,"BUFFALO, NY","PHILADELPHIA, PA",256,279,178,213,0.9622,0.9622
2000,"BUFFALO, NY","PHILADELPHIA, PA",256,279,161,255,0.9588,0.9588
1997,"BUFFALO, NY","TAMPA, FL",257,1055,182,136,0.6327,0.6327
1998,"BUFFALO, NY","TAMPA, FL",257,1055,224,122,0.5381,0.5381
1999,"BUFFALO, NY","TAMPA, FL",257,1055,273,124,0.5539,0.5539
2000,"BUFFALO, NY","TAMPA, FL",257,1055,395,107,0.4205,0.4205
1997,"BUFFALO, NY","WASHINGTON, DC",258,296,240,157,0.844,0.844
1998,"BUFFALO, NY","WASHINGTON, DC",258,296,215,161,0.852,0.852
1999,"BUFFALO, NY","WASHINGTON, DC",258,296,212,160,0.8607,0.8607
2000,"BUFFALO, NY","WASHINGTON, DC",258,296,120,169,0.9004,0.9004
1997,"BURBANK, CA","DENVER, CO",259,851,148,167,0.8773,0.8773
1998,"BURBANK, CA","DENVER, CO",259,851,114,220,0.8698,0.8698
1999,"BURBANK, CA","DENVER, CO",259,851,118,229,0.8914,0.8914
2000,"BURBANK, CA","DENVER, CO",259,851,123,233,0.868,0.868
1997,"BURBANK, CA","LAS VEGAS, NV",260,223,1652,67,0.9835,0.9835
1998,"BURBANK, CA","LAS VEGAS, NV",260,223,1693,67,0.9905,0.9905
1999,"BURBANK, CA","LAS VEGAS, NV",260,223,1855,67,0.9996,0.9996
2000,"BURBANK, CA","LAS VEGAS, NV",260,223,1823,71,0.9994,0.9994
1997,"BURBANK, CA","OAKLAND, CA",261,325,2154,68,0.9996,0.9996
1998,"BURBANK, CA","OAKLAND, CA",261,325,2268,73,0.9923,0.9923
1999,"BURBANK, CA","OAKLAND, CA",261,325,2329,78,0.9944,0.9944
2000,"BURBANK, CA","OAKLAND, CA",261,325,2426,83,0.9939,0.9939
1997,"BURBANK, CA","PHOENIX, AZ",262,369,1159,57,0.6824,0.6824
1998,"BURBANK, CA","PHOENIX, AZ",262,369,1251,61,0.669,0.669
1999,"BURBANK, CA","PHOENIX, AZ",262,369,1357,60,0.6281,0.6281
2000,"BURBANK, CA","PHOENIX, AZ",262,369,1254,66,0.634,0.634
1997,"BURBANK, CA","PORTLAND, OR",263,817,384,119,0.6897,0.6897
1998,"BURBANK, CA","PORTLAND, OR",263,817,408,119,0.7433,0.7433
1999,"BURBANK, CA","PORTLAND, OR",263,817,423,122,0.7609,0.7609
2000,"BURBANK, CA","PORTLAND, OR",263,817,440,136,0.7399,0.7399
1997,"BURBANK, CA","RENO, NV",264,374,198,75,0.8925,0.8925
1998,"BURBANK, CA","RENO, NV",264,374,199,87,0.8119,0.8119
1999,"BURBANK, CA","RENO, NV",264,374,177,91,0.9065,0.9065
2000,"BURBANK, CA","RENO, NV",264,374,185,95,0.9248,0.9248
1997,"BURBANK, CA","SACRAMENTO, CA",265,358,1474,61,0.9922,0.9922
1998,"BURBANK, CA","SACRAMENTO, CA",265,358,1557,70,0.9837,0.9837
1999,"BURBANK, CA","SACRAMENTO, CA",265,358,1568,76,0.9847,0.9847
2000,"BURBANK, CA","SACRAMENTO, CA",265,358,1620,81,0.9834,0.9834
1997,"BURBANK, CA","SAN FRANCISCO, CA",266,326,1537,87,0.9974,0.9974
1998,"BURBANK, CA","SAN FRANCISCO, CA",266,326,1482,83,0.9979,0.9979
1999,"BURBANK, CA","SAN FRANCISCO, CA",266,326,1380,93,0.9983,0.9983
2000,"BURBANK, CA","SAN FRANCISCO, CA",266,326,1169,105,0.9981,0.9981
1997,"BURBANK, CA","SAN JOSE, CA",267,296,1264,66,0.9998,0.9998
1998,"BURBANK, CA","SAN JOSE, CA",267,296,1353,68,0.8222,0.8222
1999,"BURBANK, CA","SAN JOSE, CA",267,296,1273,76,0.9996,0.9996
2000,"BURBANK, CA","SAN JOSE, CA",267,296,1319,83,0.9996,0.9996
1997,"BURBANK, CA","SEATTLE, WA",268,937,596,118,0.6764,0.6764
1998,"BURBANK, CA","SEATTLE, WA",268,937,651,121,0.7287,0.7287
1999,"BURBANK, CA","SEATTLE, WA",268,937,654,131,0.7751,0.7751
2000,"BURBANK, CA","SEATTLE, WA",268,937,743,143,0.725,0.725
1997,"BURLINGTON, VT","NEW YORK, NY",269,262,193,171,0.5197,0.5197
1998,"BURLINGTON, VT","NEW YORK, NY",269,262,203,162,0.5652,0.5652
1999,"BURLINGTON, VT","NEW YORK, NY",269,262,206,175,0.5327,0.5327
2000,"BURLINGTON, VT","NEW YORK, NY",269,262,483,91,0.4571,0.4571
1997,"CHARLESTON, SC","CHICAGO, IL",270,761,179,172,0.5237,0.5237
1998,"CHARLESTON, SC","CHICAGO, IL",270,761,167,194,0.4847,0.4847
1999,"CHARLESTON, SC","CHICAGO, IL",270,761,117,220,0.4731,0.4731
2000,"CHARLESTON, SC","CHICAGO, IL",270,761,108,177,0.4975,0.4975
1997,"CHARLESTON, SC","NEW YORK, NY",271,634,490,156,0.345,0.345
1998,"CHARLESTON, SC","NEW YORK, NY",271,634,478,160,0.4362,0.4362
1999,"CHARLESTON, SC","NEW YORK, NY",271,634,458,180,0.3802,0.3802
2000,"CHARLESTON, SC","NEW YORK, NY",271,634,453,186,0.432,0.432
1997,"CHARLESTON, SC","WASHINGTON, DC",272,444,171,186,0.8454,0.8454
1998,"CHARLESTON, SC","WASHINGTON, DC",272,444,185,182,0.7958,0.7958
1999,"CHARLESTON, SC","WASHINGTON, DC",272,444,182,217,0.8018,0.8018
2000,"CHARLESTON, SC","WASHINGTON, DC",272,444,187,167,0.7273,0.7273
1997,"CHARLOTTE, NC","CHICAGO, IL",273,599,572,254,0.5682,0.5682
1998,"CHARLOTTE, NC","CHICAGO, IL",273,599,626,253,0.5659,0.5659
1999,"CHARLOTTE, NC","CHICAGO, IL",273,599,618,256,0.5943,0.5943
2000,"CHARLOTTE, NC","CHICAGO, IL",273,599,644,248,0.622,0.622
1997,"CHARLOTTE, NC","CLEVELAND, OH",274,430,186,240,0.8946,0.8946
1998,"CHARLOTTE, NC","CLEVELAND, OH",274,430,192,233,0.9053,0.9053
1999,"CHARLOTTE, NC","CLEVELAND, OH",274,430,193,245,0.7176999,0.7176999
2000,"CHARLOTTE, NC","CLEVELAND, OH",274,430,187,249,0.6362,0.6362
1997,"CHARLOTTE, NC","DALLAS, TX",275,937,593,229,0.5132,0.5132
1998,"CHARLOTTE, NC","DALLAS, TX",275,937,491,270,0.5547,0.5547
1999,"CHARLOTTE, NC","DALLAS, TX",275,937,423,292,0.5189,0.5189
2000,"CHARLOTTE, NC","DALLAS, TX",275,937,432,317,0.5419,0.5419
1997,"CHARLOTTE, NC","DENVER, CO",276,1339,181,270,0.6579,0.6579
1998,"CHARLOTTE, NC","DENVER, CO",276,1339,192,274,0.6272,0.6272
1999,"CHARLOTTE, NC","DENVER, CO",276,1339,233,265,0.5889,0.5889
2000,"CHARLOTTE, NC","DENVER, CO",276,1339,218,288,0.6496,0.6496
1997,"CHARLOTTE, NC","DETROIT, MI",277,500,298,226,0.51,0.51
1998,"CHARLOTTE, NC","DETROIT, MI",277,500,278,239,0.4847,0.4847
1999,"CHARLOTTE, NC","DETROIT, MI",277,500,306,251,0.4671,0.4671
2000,"CHARLOTTE, NC","DETROIT, MI",277,500,291,256,0.469,0.469
1997,"CHARLOTTE, NC","FT. LAUDERDALE, FL",278,632,217,186,0.8246,0.8246
1998,"CHARLOTTE, NC","FT. LAUDERDALE, FL",278,632,248,187,0.7796,0.7796
1999,"CHARLOTTE, NC","FT. LAUDERDALE, FL",278,632,227,191,0.8561,0.8561
2000,"CHARLOTTE, NC","FT. LAUDERDALE, FL",278,632,287,175,0.8608,0.8608
1997,"CHARLOTTE, NC","HARTFORD, CT",279,643,199,239,0.8871,0.8871
1998,"CHARLOTTE, NC","HARTFORD, CT",279,643,216,239,0.9112,0.9112
1999,"CHARLOTTE, NC","HARTFORD, CT",279,643,252,245,0.9124,0.9124
